nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
ip-172-31-31-147,1717777895,1717778038,groupby,G1_1e7_1e2_0_1,10000000,sum v1 mean v3 by id3,100000,3,collapse,2.0.14,,group_by,2,0.168,NA,TRUE,29998789;4999720,0,NA,FALSE
ip-172-31-31-147,1717777895,1717778038,groupby,G1_1e7_1e2_0_1,10000000,mean v1:v3 by id4,100,4,collapse,2.0.14,,group_by,1,0.117,NA,TRUE,299.988;799.8942;4999.767,0.002,NA,FALSE
ip-172-31-31-147,1717777895,1717778038,groupby,G1_1e7_1e2_0_1,10000000,mean v1:v3 by id4,100,4,collapse,2.0.14,,group_by,2,0.117,NA,TRUE,299.988;799.8942;4999.767,0.002,NA,FALSE
ip-172-31-31-147,1717777895,1717778039,groupby,G1_1e7_1e2_0_1,10000000,sum v1:v3 by id6,100000,4,collapse,2.0.14,,group_by,1,0.21,NA,TRUE,29998789;79989360;499976651,0.002,NA,FALSE
ip-172-31-31-147,1717777895,1717778039,groupby,G1_1e7_1e2_0_1,10000000,sum v1:v3 by id6,100000,4,collapse,2.0.14,,group_by,2,0.161,NA,TRUE,29998789;79989360;499976651,0.002,NA,FALSE
ip-172-31-31-147,1717777895,1717778039,groupby,G1_1e7_1e2_0_1,10000000,median v3 sd v3 by id4 id5,10000,4,collapse,2.0.14,,group_by,1,0.231,NA,TRUE,499920.1;288648.1,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717778039,groupby,G1_1e7_1e2_0_1,10000000,median v3 sd v3 by id4 id5,10000,4,collapse,2.0.14,,group_by,2,0.196,NA,TRUE,499920.1;288648.1,0,NA,FALSE
ip-172-31-31-147,1717777895,1717778040,groupby,G1_1e7_1e2_0_1,10000000,max v1 - min v2 by id3,100000,2,collapse,2.0.14,,group_by,1,0.168,NA,TRUE,399882,0,NA,FALSE
ip-172-31-31-147,1717777895,1717778040,groupby,G1_1e7_1e2_0_1,10000000,max v1 - min v2 by id3,100000,2,collapse,2.0.14,,group_by,2,0.166,NA,TRUE,399882,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717778040,groupby,G1_1e7_1e2_0_1,10000000,largest two v3 by id6,200000,2,collapse,2.0.14,,group_by,1,0.169,NA,TRUE,19700451,0,NA,FALSE
ip-172-31-31-147,1717777895,1717778040,groupby,G1_1e7_1e2_0_1,10000000,largest two v3 by id6,200000,2,collapse,2.0.14,,group_by,2,0.167,NA,TRUE,19700451,0,NA,FALSE
ip-172-31-31-147,1717777895,1717778041,groupby,G1_1e7_1e2_0_1,10000000,regression v1 v2 by id2 id4,10000,3,collapse,2.0.14,,group_by,1,0.514,NA,TRUE,9.838641,0,NA,FALSE
